iter	Passed	Remaining
0	1	177
1	3	180
2	5	169
3	6	159
4	8	156
5	9	153
6	11	150
7	12	148
8	14	146
9	16	144
10	18	146
11	19	145
12	21	144
13	23	142
14	25	142
15	26	141
16	28	139
17	30	137
18	32	136
19	34	136
20	35	133
21	37	131
22	38	130
23	40	127
24	41	125
25	43	123
26	44	121
27	47	121
28	49	120
29	50	118
30	52	116
31	53	114
32	55	112
33	56	110
34	58	108
35	60	106
36	61	105
37	63	103
38	65	101
39	66	99
40	68	98
41	68	94
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	81	81
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	98	62
61	100	61
62	101	59
63	103	57
64	104	56
65	106	54
66	108	53
67	109	51
68	111	49
69	112	48
70	114	46
71	115	45
72	117	43
73	119	41
74	120	40
75	122	38
76	123	37
77	125	35
78	127	33
79	128	32
80	130	30
81	131	28
82	133	27
83	135	25
84	136	24
85	138	22
86	139	20
87	141	19
88	142	17
89	144	16
90	145	14
91	147	12
92	149	11
93	150	9
94	152	8
95	153	6
96	155	4
97	156	3
98	158	1
99	159	0
