iter	Passed	Remaining
0	964	963554
1	969	483559
2	975	324102
3	979	243961
4	985	196020
5	986	163458
6	988	140210
7	990	122793
8	992	109244
9	993	98387
10	996	89615
11	998	82229
12	1000	75953
13	1002	70627
14	1004	65979
15	1006	61902
16	1008	58292
17	1010	55130
18	1012	52264
19	1013	49679
20	1015	47339
21	1017	45212
22	1018	43268
23	1020	41484
24	1022	39864
25	1024	38388
26	1026	36989
27	1028	35689
28	1029	34478
29	1031	33349
30	1033	32290
31	1034	31294
32	1036	30377
33	1038	29502
34	1040	28682
35	1042	27905
36	1043	27165
37	1045	26468
38	1047	25805
39	1051	25228
40	1053	24641
41	1055	24073
42	1057	23531
43	1059	23013
44	1061	22518
45	1064	22080
46	1066	21627
47	1068	21190
48	1070	20770
49	1071	20367
50	1073	19978
51	1076	19620
52	1078	19266
53	1079	18916
54	1081	18580
55	1082	18255
56	1084	17942
57	1086	17640
58	1087	17347
59	1089	17076
60	1092	16821
61	1094	16555
62	1095	16298
63	1097	16050
64	1099	15809
65	1100	15574
66	1102	15348
67	1104	15143
68	1106	14934
69	1108	14726
70	1109	14523
71	1111	14325
72	1113	14133
73	1114	13946
74	1116	13765
75	1119	13612
76	1121	13443
77	1123	13275
78	1124	13111
79	1126	12952
80	1127	12796
81	1129	12646
82	1130	12490
83	1134	12366
84	1136	12229
85	1137	12094
86	1139	11959
87	1141	11828
88	1143	11702
89	1145	11580
90	1148	11472
91	1150	11353
92	1151	11233
93	1153	11116
94	1155	11003
95	1156	10891
96	1158	10780
97	1159	10673
98	1161	10574
99	1163	10473
100	1165	10372
101	1166	10272
102	1168	10174
103	1169	10079
104	1171	9985
105	1172	9892
106	1175	9806
107	1177	9723
108	1178	9636
109	1180	9550
110	1181	9466
111	1183	9384
112	1185	9302
113	1186	9222
114	1188	9144
115	1191	9079
116	1192	9002
117	1194	8928
118	1196	8855
119	1197	8783
120	1199	8712
121	1200	8640
122	1202	8572
123	1204	8511
124	1206	8446
125	1208	8381
126	1209	8315
127	1211	8251
128	1212	8189
129	1214	8128
130	1216	8071
131	1220	8025
132	1223	7974
133	1231	7960
134	1236	7922
135	1240	7880
136	1245	7847
137	1250	7808
138	1253	7766
139	1265	7775
140	1270	7742
141	1273	7691
142	1283	7691
143	1286	7649
144	1293	7627
145	1296	7583
146	1299	7538
147	1301	7492
148	1305	7456
149	1309	7420
150	1313	7384
151	1322	7379
152	1331	7371
153	1337	7345
154	1342	7318
155	1346	7283
156	1351	7257
157	1354	7220
158	1357	7178
159	1358	7134
160	1360	7091
161	1362	7049
162	1365	7012
163	1367	6971
164	1369	6929
165	1371	6890
166	1373	6848
167	1376	6815
168	1381	6791
169	1383	6754
170	1385	6715
171	1387	6677
172	1388	6638
173	1390	6600
174	1393	6571
175	1395	6534
176	1397	6498
177	1399	6463
178	1401	6426
179	1403	6391
180	1405	6358
181	1407	6325
182	1409	6292
183	1411	6259
184	1414	6230
185	1416	6197
186	1418	6165
187	1422	6143
188	1424	6113
189	1426	6081
190	1428	6050
191	1430	6020
192	1432	5989
193	1434	5958
194	1436	5930
195	1438	5900
196	1440	5871
197	1442	5842
198	1444	5812
